x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.0156,0.1399,0.9391,-8.1707,-13.6585,0.9146,1
0.0785,0.1374,0.9156,-11.8902,-23.4756,1.6463,1
0.1486,0.1117,0.9389,-13.7805,-36.2195,2.8659,1
0.1589,0.1179,0.9854,-12.5,-44.6341,3.3537,1
0.1067,0.1306,1.0179,-7.0732,-46.7683,-1.4024,1
0.1295,0.1515,1.0134,-4.8171,-44.878,-3.7805,1
0.1409,0.1686,1.0153,-4.2683,-42.378,-0.5488,1
0.0817,0.1647,1.0182,-5.4268,-41.4024,1.5854,1
0.1227,0.1754,1.0419,-7.439,-44.3293,2.1951,1
0.2242,0.19899999999999998,1.0485,-7.9878,-52.0122,4.3293,1
0.1547,0.1819,1.0007,-7.3171,-51.2805,-0.061,1
0.129,0.1721,0.9913,-12.561,-45.4268,0.1829,1
0.2003,0.1672,0.9858,-14.8171,-49.0854,1.4024,1
0.1556,0.1484,0.9179999999999999,-14.6341,-53.5366,-1.8902,1
0.0681,0.1036,0.8431,-15.0,-52.9268,-5.7317,1
0.0488,0.0928,0.8157,-17.0732,-58.0488,-4.2073,1
0.0812,0.1103,0.7775,-17.9878,-70.8537,-0.7927,1
0.0611,0.132,0.7872,-21.4024,-77.8049,3.2317,1
-0.0272,0.1182,0.7938,-31.2195,-82.9878,7.2561,1
0.0295,0.0899,0.8381,-42.1951,-99.8171,5.2439,1
0.2559,0.1249,1.0096,-48.6585,-128.1098,2.5610000000000004,1
0.3417,0.1259,1.1966,-45.3659,-149.2073,-9.2683,1
0.3184,0.1341,1.2897,-43.9634,-152.0732,-19.939,1
0.473,0.0928,1.2217,-38.9024,-156.9512,-16.8902,1
0.6808,0.0406,1.1406,-32.5,-165.3049,-14.7561,1
0.6959,-0.0315,1.0132,-34.4512,-164.8781,-2.9268,1
0.5408,-0.0774,0.8482,-36.6463,-145.8537,-2.0122,1
0.4854,-0.1257,0.7006,-35.061,-130.2439,-3.0488,1
0.6145,-0.1408,0.6506,-31.2195,-132.6219,-3.2927,1
0.685,-0.1436,0.6259,-27.561,-136.9512,-4.6341,1
0.6456,-0.1633,0.6002,-30.122,-131.2805,-5.4268,1
0.5953,-0.1349,0.623,-30.6098,-125.4268,-8.1098,1
0.5701,-0.0901,0.6819,-33.3537,-125.4268,-8.2317,1
0.5594,-0.0553,0.7978,-41.0976,-131.8293,-3.7805,1
0.6848,-0.1221,0.9627,-50.6098,-146.0976,1.7073,1
0.9219,-0.1172,1.0443,-50.3659,-156.7073,1.8902,1
1.0352,-0.0645,0.9763,-33.9634,-151.4634,-0.122,1
0.8721,-0.08,0.7954,-20.4878,-118.4146,0.3659,1
0.6368,-0.1013,0.6549,-18.5976,-78.4146,2.6829,1
0.6006,-0.0717,0.5903,-16.5854,-61.9512,1.4634,1
0.6813,-0.0338,0.6005,-12.0122,-67.9878,-1.0366,1
0.7744,-0.0362,0.6415,-9.5122,-73.9634,-2.622,1
0.7709999999999999,-0.0389,0.6415,-11.1585,-67.9878,-3.0488,1
0.7646,-0.028999999999999998,0.6255,-10.3049,-53.1098,-3.2317,1
0.8248,-0.0389,0.6698,-6.7073,-38.9634,-4.2683,1
0.9899,-0.0122,0.7732,-3.9634,-27.0732,-2.439,1
1.02,-0.069,0.7524,1.1585,-13.4146,-1.9512,1
0.9276,-0.1271,0.7113,1.2195,7.561,-1.3415,1
0.9364,-0.0967,0.6665,0.6707,25.5488,2.5,1
0.9169,-0.0704,0.6465,1.4024,31.6463,5.061,1
0.843,-0.1034,0.669,0.6707,34.7561,7.439,1
0.8776,-0.0991,0.7542,0.3659,34.6951,8.4756,1
0.914,-0.0686,0.7718,3.4756,38.9634,6.9512,1
0.8231,-0.0612,0.7152,6.6463,54.2073,3.9634,1
0.6976,-0.0682,0.6629999999999999,10.6707,73.6585,2.5,1
0.6964,-0.0525,0.6685,15.4268,83.8415,-0.6707,1
0.6633,-0.0187,0.7020000000000001,21.9512,87.3171,-4.6341,1
0.6027,-0.0054,0.7659,24.5732,92.9878,-4.7561,1
0.6437,0.0107,0.8205,24.0244,94.939,-0.2439,1
0.7376,0.0051,0.8438,26.7073,93.1707,3.5366,1
0.8008,-0.0069,0.8712,28.5976,99.6951,5.3049,1
0.7877,-0.0135,0.8434,26.7073,121.1585,4.5732,1
0.6667,-0.071,0.7772,23.7805,150.9756,2.5,1
0.5776,-0.0864,0.7461,22.561,171.8902,2.0122,1
0.5436,-0.0403,0.7053,27.1341,176.3415,0.9756,1
0.4495,0.0035,0.7708,30.6707,171.1585,-1.7683,1
0.374,0.0683,0.9692,29.4512,159.7561,-0.9146,1
0.375,0.0535,1.0618,25.1829,137.0122,1.6463,1
0.2468,0.0186,1.0504,19.6341,111.8293,1.9512,1
0.2474,0.0118,1.0431,14.6951,89.0244,3.2317,1
0.3657,-0.0206,0.9989,12.7439,64.8171,2.8049,1
0.4085,-0.025,0.9195,11.4024,59.4512,-1.5244,1
0.4243,0.0201,0.9012,13.8415,78.9024,-1.3415,1
0.2964,0.0585,0.8887,16.2195,96.1585,1.1585,1
0.1659,0.0999,0.8907,15.9756,94.2683,3.5366,1
0.2974,0.0989,0.9496,16.2805,70.0,7.561,1
0.3407,0.0708,0.9896,16.7073,41.7073,11.0366,1
0.264,0.0604,1.0009,14.939,30.4268,10.122,1
0.3022,0.0591,1.0141,13.7195,28.2927,8.9024,1
0.2942,0.0874,1.0197,13.0488,25.3049,9.0244,1
0.2057,0.0676,0.9283,10.5488,21.7683,9.0854,1
0.2103,0.0131,0.8849,7.0732,11.2195,10.9756,1
0.3053,0.0452,0.8681,4.7561,-5.3049,14.939,1
0.3746,0.0656,0.8626,2.378,-14.7561,12.622,1
0.3734,0.0186,0.7938,-1.6463,-15.0,8.7805,1
0.3014,-0.0598,0.7306,-1.4634,-15.122,8.9634,1
0.5241,-0.0044,0.9385,-0.6098,-12.439,13.5976,1
0.6599,0.0309,1.0945,3.5976,-15.6707,16.9512,1
0.4478,0.0106,1.1112,7.377999999999999,-8.5366,10.061,1
