x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.0588,-0.0341,0.0957,15.4878,-91.5854,-13.9634,1
0.0435,-0.0263,0.0835,22.0122,-81.6463,-20.4878,1
0.0425,-0.0197,0.0802,26.0976,-82.561,-29.3902,1
0.0499,-0.011000000000000001,0.0959,23.2927,-89.2683,-40.4268,1
0.0672,0.0006,0.111,19.2683,-105.5488,-50.5488,1
0.084,0.0093,0.1099,9.6341,-132.439,-55.9756,1
0.0963,0.0062,0.0879,-0.7317,-159.4512,-60.4268,1
0.0977,0.0067,0.0888,-7.439,-177.0732,-65.9756,1
0.1073,-0.0076,0.0924,-9.3902,-192.6219,-66.5244,1
0.1578,-0.0174,0.0969,-26.9512,-195.8537,-57.1341,1
0.17,-0.0106,0.1089,-39.4512,-182.2561,-37.5,1
0.1413,-0.0191,0.0922,-41.4634,-149.0244,-23.2927,1
0.10800000000000001,-0.0198,0.083,-38.5366,-115.0,-27.6829,1
0.0896,-0.0192,0.0789,-40.1829,-121.2195,-33.6585,1
0.095,-0.027000000000000003,0.0723,-45.1829,-147.2561,-32.0732,1
0.1141,-0.0359,0.0662,-50.6707,-170.4268,-25.061,1
0.1273,-0.0426,0.0577,-51.9512,-171.3415,-17.5,1
0.1163,-0.0471,0.0425,-48.8415,-138.1098,-13.4756,1
0.0954,-0.0453,0.027999999999999997,-41.2195,-86.5244,-17.0122,1
0.0867,-0.0386,0.0247,-25.3049,-36.4024,-24.5122,1
0.0943,-0.0329,0.0196,-11.8293,-11.0366,-29.0854,1
0.0989,-0.0303,0.0221,-1.7073,-10.5488,-31.2805,1
0.1008,-0.0322,0.0303,5.7317,-22.1951,-32.2561,1
0.1048,-0.0317,0.032,10.6098,-35.122,-35.2439,1
0.1193,-0.0324,0.0365,16.0976,-46.5854,-36.0976,1
0.1429,-0.0319,0.0491,17.1951,-55.6707,-35.8537,1
0.1737,-0.0294,0.0576,15.3049,-53.5976,-32.0122,1
0.1832,-0.0295,0.053,14.1463,-27.7439,-20.4268,1
0.1571,-0.0349,0.0388,14.6951,7.0122,-5.061,1
0.1205,-0.0431,0.0269,13.0488,21.5244,2.5610000000000004,1
0.1042,-0.0475,0.025,12.1341,13.6585,1.4024,1
0.0982,-0.0417,0.0306,13.2317,-5.122000000000001,-1.3415,1
0.1002,-0.0372,0.034,14.3902,-20.7927,-5.6707,1
0.1175,-0.0373,0.0341,15.7927,-20.9146,-8.1098,1
0.1354,-0.0369,0.0375,20.122,-7.561,-4.3902,1
0.1328,-0.0394,0.0399,22.1951,11.0366,0.7927,1
0.1175,-0.0428,0.0388,19.8171,34.2073,-1.7073,1
0.1053,-0.0397,0.0405,20.6707,55.9146,-5.4878,1
0.0993,-0.0312,0.0527,23.2317,62.0122,-3.7195,1
0.0984,-0.0268,0.0678,21.5244,51.5854,0.061,1
0.1041,-0.0251,0.0773,13.9024,28.7195,0.4878,1
0.111,-0.0231,0.0848,5.9146,3.2927,0.3049,1
0.1096,-0.0231,0.0816,-0.4268,-3.8415,1.8902,1
0.1062,-0.0238,0.0685,-5.2439,6.2195,2.1951,1
0.1099,-0.0251,0.0577,-7.6829,6.6463,0.7317,1
0.1143,-0.0286,0.0541,-8.5366,-8.4756,-1.8902,1
0.1162,-0.0367,0.0465,-12.8049,-23.7195,-2.7439,1
0.1174,-0.045,0.0351,-15.8537,-21.8902,-1.7073,1
0.1151,-0.0469,0.0342,-11.8293,-9.7561,-0.4268,1
0.1214,-0.0469,0.0396,-7.7439,-2.0122,0.4268,1
0.13,-0.0474,0.0444,-5.9146,1.0976,0.4268,1
0.1328,-0.0509,0.0369,-4.5122,4.1463,-0.6707,1
0.1213,-0.0502,0.0276,-0.122,17.9878,-5.7927,1
0.1089,-0.0453,0.0311,8.3537,37.439,-8.3537,1
0.1039,-0.0371,0.0475,13.9024,43.2927,-6.5854,1
0.1058,-0.0294,0.0641,15.9146,30.5488,-3.9634,1
0.1085,-0.0298,0.0762,13.5366,19.3293,-4.5122,1
0.106,-0.0305,0.0772,10.2439,25.6707,-8.7195,1
0.1073,-0.0283,0.071,8.1707,36.7073,-9.2073,1
0.1088,-0.024,0.0701,7.9878,36.5244,-8.9024,1
