x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.6398,0.0076,1.0535,-0.6707,-4.7561,-27.6829,1
0.5029,0.0252,1.0106,-3.1098,18.5976,-31.2195,1
0.3789,0.0059,0.9631,-11.0976,35.7927,-33.7805,1
0.2999,-0.0049,0.8905,-15.7317,34.3293,-34.878,1
0.2462,-0.0063,0.8084,-15.9756,15.9146,-33.5976,1
0.2249,-0.0245,0.7542,-17.8049,-11.0976,-31.0366,1
0.2189,-0.0332,0.7671,-22.1951,-43.6585,-27.9268,1
0.2522,-0.0532,0.7777,-23.9634,-77.9878,-23.1707,1
0.3322,-0.0564,0.8238,-23.2317,-111.4024,-20.7317,1
0.4333,-0.0557,0.8181,-23.2927,-141.1585,-17.9878,1
0.5409,-0.0563,0.7764,-21.8293,-165.1219,-17.8659,1
0.6539,-0.0469,0.7174,-19.5122,-179.2683,-19.5732,1
0.741,-0.0952,0.6232,-22.1951,-180.9756,-19.5732,1
0.7977,-0.1359,0.56,-32.0732,-174.6342,-17.5,1
0.6816,-0.0952,0.5091,-43.8415,-165.1219,-15.8537,1
0.5664,-0.0871,0.389,-59.1463,-162.439,-13.3537,1
0.4938,-0.159,0.3736,-75.4878,-172.3781,-12.8049,1
0.4672,-0.2042,0.4295,-90.9756,-195.7317,-15.8537,1
0.5595,-0.2893,0.4932,-100.6098,-226.8902,-22.561,1
0.7266,-0.3085,0.5825,-110.061,-259.3293,-26.8293,1
0.9887,-0.2873,0.63,-118.7195,-281.0976,-30.4878,1
1.2717,-0.2635,0.5865,-124.2073,-285.3049,-38.9634,1
1.4839,-0.2109,0.5357,-117.9268,-266.8293,-52.3171,1
1.4802,-0.1671,0.4664,-108.5976,-220.6707,-65.8537,1
1.2133,-0.1605,0.3582,-113.4756,-152.439,-73.2317,1
0.9886,-0.1783,0.3008,-127.439,-87.3171,-70.1829,1
0.8484,-0.2085,0.2766,-137.2561,-42.2561,-55.122,1
0.7539,-0.2298,0.3031,-133.5976,-22.1951,-37.1341,1
0.7571,-0.2078,0.3802,-118.2317,-28.3537,-22.9878,1
0.8981,-0.1447,0.419,-97.9268,-54.8781,-16.7073,1
1.1396,-0.0984,0.4266,-80.4268,-87.3781,-19.6341,1
1.3542,-0.0625,0.4348,-70.122,-100.4878,-24.0244,1
1.3828,-0.0812,0.4286,-63.6585,-74.3902,-30.061,1
1.2099,-0.0811,0.3668,-56.7073,-11.6463,-41.4634,1
0.9832,-0.061,0.2928,-47.0732,57.0732,-48.7195,1
0.8472,-0.0364,0.2869,-33.4756,98.9024,-47.3171,1
0.8601,0.0345,0.3401,-18.1707,103.9634,-39.6341,1
0.8906,0.0688,0.3818,-5.061,91.1585,-31.0366,1
0.787,0.05,0.3561,2.1951,79.5732,-25.1829,1
0.7372,0.0391,0.3271,4.939,67.1951,-20.7317,1
0.7716,0.0704,0.3236,7.7439,45.1829,-18.3537,1
0.9407,0.1212,0.3603,10.4268,27.1951,-17.0732,1
1.0138,0.1101,0.4036,4.3293,19.3293,-15.8537,1
0.9087,0.0993,0.4332,-0.4878,25.2439,-20.8537,1
0.8748,0.1174,0.4742,-0.6098,37.9878,-24.3902,1
0.8071,0.114,0.5253,1.7683,54.5122,-24.5732,1
0.7292,0.1063,0.5269,0.9146,73.6585,-22.378,1
0.7449,0.187,0.5326,-2.3171,86.4634,-18.7195,1
0.8439,0.2075,0.5753,-8.0488,85.7317,-13.1707,1
0.7879,0.2003,0.6182,-17.622,78.0488,-9.4512,1
0.8783,0.2268,0.6827,-25.4878,64.4512,-6.1585,1
0.9398,0.1964,0.7140000000000001,-30.8537,44.0244,-2.5,1
0.851,0.1997,0.7017,-29.939,33.7805,-2.622,1
0.7777,0.2244,0.6785,-27.2561,26.8293,-3.4146,1
0.9209,0.2197,0.6207,-25.9146,3.7805,-2.3171,1
0.9592,0.1998,0.6324,-15.5488,-26.5854,-0.122,1
0.9884,0.1905,0.7182,-3.8415,-29.5122,3.7195,1
0.8527,0.1133,0.7712,-0.3659,-19.7561,9.4512,1
0.8926,0.1157,0.8153,9.0854,-4.6951,16.4634,1
0.9699,0.1522,0.805,23.8415,-0.122,33.7805,1
1.0588,0.1682,0.7509,35.9756,-0.3659,45.4878,1
1.2089,0.2604,0.6990000000000001,34.3293,-4.2683,51.3415,1
1.3217,0.2661,0.6463,22.439,-17.5,56.5244,1
1.3042,0.3024,0.5717,10.1829,-36.3415,59.4512,1
1.2534,0.2649,0.4811,-4.2683,-50.9146,66.8293,1
1.1927,0.1987,0.4656,-21.0976,-58.2317,72.622,1
